CandleTime,UtcTime,Signal,ProdTrade,SkipReason,Classification
1779828300,2026-05-26 20:45 UTC,,,no_signal,no_signal
1779828600,2026-05-26 20:50 UTC,,,no_signal,no_signal
1779828900,2026-05-26 20:55 UTC,,,no_signal,no_signal
1779829200,2026-05-26 21:00 UTC,,,no_signal,no_signal
1779829500,2026-05-26 21:05 UTC,,,no_signal,no_signal
1779829800,2026-05-26 21:10 UTC,,,no_signal,no_signal
1779830100,2026-05-26 21:15 UTC,long,yes,,aligned
1779830400,2026-05-26 21:20 UTC,,,no_signal,no_signal
1779830700,2026-05-26 21:25 UTC,,,no_signal,no_signal
1779831000,2026-05-26 21:30 UTC,,,no_signal,no_signal
1779831300,2026-05-26 21:35 UTC,,,no_signal,no_signal
1779831600,2026-05-26 21:40 UTC,,,no_signal,no_signal
1779831900,2026-05-26 21:45 UTC,,,no_signal,no_signal
1779832200,2026-05-26 21:50 UTC,,,no_signal,no_signal
1779832500,2026-05-26 21:55 UTC,,,no_signal,no_signal
1779832800,2026-05-26 22:00 UTC,long,yes,,aligned
1779833100,2026-05-26 22:05 UTC,,,no_signal,no_signal
1779833400,2026-05-26 22:10 UTC,long,yes,,aligned
1779833700,2026-05-26 22:15 UTC,long,yes,,aligned
1779834000,2026-05-26 22:20 UTC,long,yes,,aligned
1779834300,2026-05-26 22:25 UTC,long,,entry_price_out_of_range,execution_skip
1779834600,2026-05-26 22:30 UTC,long,yes,,aligned
1779834900,2026-05-26 22:35 UTC,long,yes,,aligned
1779835200,2026-05-26 22:40 UTC,long,yes,,aligned
1779835500,2026-05-26 22:45 UTC,long,yes,,aligned
1779835800,2026-05-26 22:50 UTC,long,yes,,aligned
1779836100,2026-05-26 22:55 UTC,long,yes,,aligned
1779836400,2026-05-26 23:00 UTC,long,,entry_price_out_of_range,execution_skip
1779836700,2026-05-26 23:05 UTC,,,no_signal,no_signal
1779837000,2026-05-26 23:10 UTC,,,no_signal,no_signal
1779837300,2026-05-26 23:15 UTC,,,no_signal,no_signal
1779837600,2026-05-26 23:20 UTC,,,no_signal,no_signal
1779837900,2026-05-26 23:25 UTC,,,no_signal,no_signal
1779838200,2026-05-26 23:30 UTC,,,no_signal,no_signal
1779838500,2026-05-26 23:35 UTC,,,no_signal,no_signal
1779838800,2026-05-26 23:40 UTC,,,no_signal,no_signal
1779839100,2026-05-26 23:45 UTC,,,no_signal,no_signal
1779839400,2026-05-26 23:50 UTC,,,no_signal,no_signal
1779839700,2026-05-26 23:55 UTC,,,no_signal,no_signal
1779840000,2026-05-27 00:00 UTC,,,no_signal,no_signal
1779840300,2026-05-27 00:05 UTC,,,no_signal,no_signal
1779840600,2026-05-27 00:10 UTC,,,no_signal,no_signal
1779840900,2026-05-27 00:15 UTC,,,no_signal,no_signal
1779841200,2026-05-27 00:20 UTC,,,no_signal,no_signal
1779841500,2026-05-27 00:25 UTC,,,no_signal,no_signal
1779841800,2026-05-27 00:30 UTC,,,no_signal,no_signal
1779842100,2026-05-27 00:35 UTC,,,no_signal,no_signal
1779842400,2026-05-27 00:40 UTC,,,no_signal,no_signal
1779842700,2026-05-27 00:45 UTC,,,no_signal,no_signal
1779843000,2026-05-27 00:50 UTC,,,no_signal,no_signal
1779843300,2026-05-27 00:55 UTC,short,yes,,aligned
1779843600,2026-05-27 01:00 UTC,short,yes,,aligned
1779843900,2026-05-27 01:05 UTC,short,,entry_price_out_of_range,execution_skip
1779844200,2026-05-27 01:10 UTC,short,yes,,aligned
1779844500,2026-05-27 01:15 UTC,short,,entry_price_out_of_range,execution_skip
1779844800,2026-05-27 01:20 UTC,,,no_signal,no_signal
1779845100,2026-05-27 01:25 UTC,,,no_signal,no_signal
1779845400,2026-05-27 01:30 UTC,,,no_signal,no_signal
1779845700,2026-05-27 01:35 UTC,,,no_signal,no_signal
1779846000,2026-05-27 01:40 UTC,,,no_signal,no_signal
1779846300,2026-05-27 01:45 UTC,,,no_signal,no_signal
1779846600,2026-05-27 01:50 UTC,,,no_signal,no_signal
1779846900,2026-05-27 01:55 UTC,,,no_signal,no_signal
1779847200,2026-05-27 02:00 UTC,,,no_signal,no_signal
1779847500,2026-05-27 02:05 UTC,,,no_signal,no_signal
1779847800,2026-05-27 02:10 UTC,long,yes,,aligned
1779848100,2026-05-27 02:15 UTC,,,no_signal,no_signal
1779848400,2026-05-27 02:20 UTC,long,,entry_price_out_of_range,execution_skip
1779848700,2026-05-27 02:25 UTC,long,,entry_price_out_of_range,execution_skip
1779849000,2026-05-27 02:30 UTC,long,yes,,aligned
1779849300,2026-05-27 02:35 UTC,long,,entry_price_out_of_range,execution_skip
1779849600,2026-05-27 02:40 UTC,long,,entry_price_out_of_range,execution_skip
1779849900,2026-05-27 02:45 UTC,long,,entry_price_out_of_range,execution_skip
1779850200,2026-05-27 02:50 UTC,long,,entry_price_out_of_range,execution_skip
1779850500,2026-05-27 02:55 UTC,,,no_signal,no_signal
1779850800,2026-05-27 03:00 UTC,,,no_signal,no_signal
1779851100,2026-05-27 03:05 UTC,,,no_signal,no_signal
1779851400,2026-05-27 03:10 UTC,,,no_signal,no_signal
1779851700,2026-05-27 03:15 UTC,,,no_signal,no_signal
1779852000,2026-05-27 03:20 UTC,,,no_signal,no_signal
1779852300,2026-05-27 03:25 UTC,,,no_signal,no_signal
1779852600,2026-05-27 03:30 UTC,,,no_signal,no_signal
1779852900,2026-05-27 03:35 UTC,,,no_signal,no_signal
1779853200,2026-05-27 03:40 UTC,long,yes,,aligned
1779853500,2026-05-27 03:45 UTC,long,yes,,aligned
1779853800,2026-05-27 03:50 UTC,long,,order_failed,execution_skip
1779854100,2026-05-27 03:55 UTC,long,,entry_price_out_of_range,execution_skip
1779854400,2026-05-27 04:00 UTC,long,,entry_price_out_of_range,execution_skip
1779854700,2026-05-27 04:05 UTC,long,yes,,aligned
1779855000,2026-05-27 04:10 UTC,long,yes,,aligned
1779855300,2026-05-27 04:15 UTC,long,yes,,aligned
1779855600,2026-05-27 04:20 UTC,long,yes,,aligned
1779855900,2026-05-27 04:25 UTC,long,,entry_price_out_of_range,execution_skip
1779856200,2026-05-27 04:30 UTC,long,yes,,aligned
1779856500,2026-05-27 04:35 UTC,long,,entry_price_out_of_range,execution_skip
1779856800,2026-05-27 04:40 UTC,long,yes,,aligned
1779857100,2026-05-27 04:45 UTC,long,,entry_price_out_of_range,execution_skip
1779857400,2026-05-27 04:50 UTC,long,yes,,aligned
1779857700,2026-05-27 04:55 UTC,,,no_signal,no_signal
1779858000,2026-05-27 05:00 UTC,,,no_signal,no_signal
1779858300,2026-05-27 05:05 UTC,,,no_signal,no_signal
1779858600,2026-05-27 05:10 UTC,,,no_signal,no_signal
1779858900,2026-05-27 05:15 UTC,,,no_signal,no_signal
1779859200,2026-05-27 05:20 UTC,,,no_signal,no_signal
1779859500,2026-05-27 05:25 UTC,,,no_signal,no_signal
1779859800,2026-05-27 05:30 UTC,,,no_signal,no_signal
1779860100,2026-05-27 05:35 UTC,,,no_signal,no_signal
1779860400,2026-05-27 05:40 UTC,,,no_signal,no_signal
1779860700,2026-05-27 05:45 UTC,,,no_signal,no_signal
1779861000,2026-05-27 05:50 UTC,,,no_signal,no_signal
1779861300,2026-05-27 05:55 UTC,,,no_signal,no_signal
1779861600,2026-05-27 06:00 UTC,,,no_signal,no_signal
1779861900,2026-05-27 06:05 UTC,,,no_signal,no_signal
1779862200,2026-05-27 06:10 UTC,,,no_signal,no_signal
1779862500,2026-05-27 06:15 UTC,,,no_signal,no_signal
1779862800,2026-05-27 06:20 UTC,,,no_signal,no_signal
1779863100,2026-05-27 06:25 UTC,,,no_signal,no_signal
1779863400,2026-05-27 06:30 UTC,,,no_signal,no_signal
1779863700,2026-05-27 06:35 UTC,,,no_signal,no_signal
1779864000,2026-05-27 06:40 UTC,,,no_signal,no_signal
1779864300,2026-05-27 06:45 UTC,,,no_signal,no_signal
