Id,CandleTime,UtcTime,Side,Trend,EntryPrice,StakeUsd,PnlUsd_prod,Won_prod,Signal_side,Signal_match,Open,Close,Won_candle,Pnl_bt_A,Pnl_bt_C,Pnl_at_0.5,Entry_edge
296,1779810000,2026-05-26 15:40 UTC,Up,Long,0.5,3.745,3.745,1,long,yes,76450.0,76527.0,1,3.6752,3.745,3.745,0.0
297,1779810300,2026-05-26 15:45 UTC,Up,Long,0.37,3.6926,-3.6926,0,long,yes,76527.0,76441.99,0,-3.7303,-3.6926,-3.6926,0.0
298,1779810600,2026-05-26 15:50 UTC,Up,Long,0.5,3.7462,-3.7462,0,long,yes,76441.99,76292.79,0,-3.6744,-3.7462,-3.7462,0.0
299,1779811200,2026-05-26 16:00 UTC,Up,Long,0.48,3.6908,-3.6908,0,long,yes,76518.1,76479.46,0,-3.6736,-3.6908,-3.6908,0.0
300,1779811500,2026-05-26 16:05 UTC,Up,Long,0.49,3.6358,-3.6358,0,long,yes,76479.46,76452.01,0,-3.6184,-3.6358,-3.6358,0.0
301,1779811800,2026-05-26 16:10 UTC,Up,Long,0.5,3.58,-3.58,0,long,yes,76452.0,76350.0,0,-3.5642,-3.58,-3.58,0.0
302,1779812100,2026-05-26 16:15 UTC,Up,Long,0.42,3.528,4.872,1,long,yes,76350.0,76472.25,1,3.5107,4.872,3.528,1.344
303,1779812400,2026-05-26 16:20 UTC,Up,Long,0.49,3.4202,3.5598,1,long,yes,76472.24,76523.49,1,3.5634,3.5598,3.4202,0.1396
304,1779816300,2026-05-26 17:25 UTC,Up,Long,0.5,3.72,-3.72,0,long,yes,76185.72,76069.82,0,-3.5626,-3.72,-3.72,0.0
305,1779816900,2026-05-26 17:35 UTC,Up,Long,0.5,3.665,3.665,1,long,yes,75894.01,75964.58,1,3.4565,3.665,3.665,0.0
306,1779817200,2026-05-26 17:40 UTC,Up,Long,0.45,3.609,4.411,1,long,yes,75964.57,76029.77,1,3.5083,4.411,3.609,0.802
307,1779817500,2026-05-26 17:45 UTC,Up,Long,0.43,3.6679,4.8621,1,long,yes,76029.78,76126.01,1,3.561,4.8621,3.6679,1.1942
308,1779818100,2026-05-26 17:55 UTC,Up,Long,0.48,3.8064,-3.8064,0,long,yes,76030.22,75935.08,0,-3.5602,-3.8064,-3.8064,0.0
309,1779818400,2026-05-26 18:00 UTC,Up,Long,0.3,3.747,8.743,1,long,yes,75935.09,75994.01,1,3.5068,8.743,3.747,4.996
310,1779818700,2026-05-26 18:05 UTC,Up,Long,0.49,3.6897,3.8403,1,long,yes,75994.01,76002.01,1,3.5594,3.8403,3.6897,0.1506
311,1779819000,2026-05-26 18:10 UTC,Up,Long,0.5,3.825,3.825,1,long,yes,76002.01,76018.0,1,3.6128,3.825,3.825,0.0
312,1779819300,2026-05-26 18:15 UTC,Up,Long,0.49,3.8808,4.0392,1,long,yes,76018.01,76119.41,1,3.6669,4.0392,3.8808,0.1584
313,1779821100,2026-05-26 18:45 UTC,Up,Long,0.47,4.0561,4.5739,1,long,yes,75918.63,75960.71,1,3.7219,4.5739,4.0561,0.5178
314,1779821400,2026-05-26 18:50 UTC,Up,Long,0.39,3.9936,-3.9936,0,long,yes,75960.7,75948.0,0,-3.7778,-3.9936,-3.9936,0.0
315,1779821700,2026-05-26 18:55 UTC,Up,Long,0.49,4.0621,-4.0621,0,long,yes,75948.0,75840.55,0,-3.7211,-4.0621,-4.0621,0.0
316,1779822000,2026-05-26 19:00 UTC,Up,Long,0.5,4.0,4.0,1,long,yes,75840.55,75863.51,1,3.6653,4.0,4.0,0.0
317,1779822900,2026-05-26 19:15 UTC,Up,Long,0.48,4.0608,4.3992,1,long,yes,75860.56,75884.4,1,3.7194,4.3992,4.0608,0.3384
318,1779830100,2026-05-26 21:15 UTC,Up,Long,0.5,4.125,4.125,1,long,yes,75896.01,75977.89,1,3.7744,4.125,4.125,0.0
319,1779832800,2026-05-26 22:00 UTC,Up,Long,0.5,4.19,4.19,1,long,yes,75890.0,75921.9,1,3.831,4.19,4.19,0.0
320,1779833400,2026-05-26 22:10 UTC,Up,Long,0.49,4.2511,-4.2511,0,long,yes,75853.34,75792.05,0,-3.8885,-4.2511,-4.2511,0.0
321,1779833700,2026-05-26 22:15 UTC,Up,Long,0.49,4.1895,-4.1895,0,long,yes,75792.06,75788.0,0,-3.8301,-4.1895,-4.1895,0.0
322,1779834000,2026-05-26 22:20 UTC,Up,Long,0.5,4.125,4.125,1,long,yes,75788.0,75793.66,1,3.7727,4.125,4.125,0.0
323,1779834600,2026-05-26 22:30 UTC,Up,Long,0.49,4.1895,4.3605,1,long,yes,75799.96,75861.25,1,3.8867,4.3605,4.1895,0.171
324,1779834900,2026-05-26 22:35 UTC,Up,Long,0.5,4.125,-4.125,0,long,yes,75861.24,75806.58,0,-3.945,-4.125,-4.125,0.0
325,1779835200,2026-05-26 22:40 UTC,Up,Long,0.5,4.19,4.19,1,long,yes,75806.58,75804.22,0,-3.8858,-4.19,4.19,0.0
326,1779835500,2026-05-26 22:45 UTC,Up,Long,0.49,4.1258,-4.1258,0,long,yes,75804.21,75697.81,0,-3.8275,-4.1258,-4.1258,0.0
327,1779835800,2026-05-26 22:50 UTC,Up,Long,0.5,4.19,4.19,1,long,yes,75697.81,75751.61,1,3.7701,4.19,4.19,0.0
328,1779836100,2026-05-26 22:55 UTC,Up,Long,0.5,4.13,-4.13,0,long,yes,75751.61,75749.02,0,-3.8267,-4.13,-4.13,0.0
329,1779843300,2026-05-27 00:55 UTC,Down,Short,0.47,4.2347,-4.2347,0,short,yes,76042.0,76085.01,0,-3.8258,-4.2347,-4.2347,0.0
330,1779843600,2026-05-27 01:00 UTC,Down,Short,0.5,4.17,4.17,1,short,yes,76085.0,76051.93,1,3.7684,4.17,4.17,0.0
331,1779844200,2026-05-27 01:10 UTC,Down,Short,0.48,4.2336,-4.2336,0,short,yes,76066.01,76076.82,0,-3.7676,-4.2336,-4.2336,0.0
332,1779847800,2026-05-27 02:10 UTC,Up,Long,0.5,4.17,4.17,1,long,yes,75788.15,75811.94,1,3.7667,4.17,4.17,0.0
333,1779849000,2026-05-27 02:30 UTC,Up,Long,0.48,4.2336,4.5864,1,long,yes,75769.82,75800.74,1,3.9388,4.5864,4.2336,0.3528
334,1779853200,2026-05-27 03:40 UTC,Up,Long,0.51,4.2993,4.1307,1,long,yes,75752.45,75764.0,1,3.9961,4.1307,4.2993,-0.1686
335,1779853500,2026-05-27 03:45 UTC,Up,Long,0.5,4.235,-4.235,0,long,yes,75764.0,75664.31,0,-4.056,-4.235,-4.235,0.0
336,1779854700,2026-05-27 04:05 UTC,Up,Long,0.39,4.3017,6.7283,1,long,yes,75658.83,75699.97,1,4.0542,6.7283,4.3017,2.4266
337,1779855000,2026-05-27 04:10 UTC,Up,Long,0.49,4.2336,-4.2336,0,long,yes,75699.96,75630.01,0,-4.115,-4.2336,-4.2336,0.0
338,1779855300,2026-05-27 04:15 UTC,Up,Long,0.5,4.34,-4.34,0,long,yes,75630.01,75539.64,0,-4.0533,-4.34,-4.34,0.0
339,1779855600,2026-05-27 04:20 UTC,Up,Long,0.5,4.275,-4.275,0,long,yes,75539.64,75527.81,0,-3.9925,-4.275,-4.275,0.0
340,1779856200,2026-05-27 04:30 UTC,Up,Long,0.5,4.21,-4.21,0,long,yes,75509.15,75351.18,0,-3.8736,-4.21,-4.21,0.0
341,1779856800,2026-05-27 04:40 UTC,Up,Long,0.5,4.145,-4.145,0,long,yes,75369.99,75351.96,0,-3.8727,-4.145,-4.145,0.0
342,1779857400,2026-05-27 04:50 UTC,Up,Long,0.42,4.0824,5.6376,1,long,yes,75509.73,75599.13,1,3.8719,5.6376,4.0824,1.5552
343,1779864600,2026-05-27 06:50 UTC,Down,Short,0.51,4.1667,-4.1667,0,short,yes,75856.65,75856.0,1,3.9299,4.0033,-4.1667,0.0
344,1779864900,2026-05-27 06:55 UTC,Down,Short,0.5,4.105,4.105,1,short,yes,75855.99,75838.65,1,3.9889,4.105,4.105,0.0
345,1779865500,2026-05-27 07:05 UTC,Down,Short,0.24,4.1688,13.2012,1,short,yes,75860.01,75818.41,1,4.0487,13.2012,4.1688,9.0324
346,1779867000,2026-05-27 07:30 UTC,Down,Short,0.29,4.3645,-4.3645,0,short,yes,75863.84,75938.36,0,-4.1711,-4.3645,-4.3645,0.0
347,1779867300,2026-05-27 07:35 UTC,Down,Short,0.5,4.3,4.3,1,short,yes,75938.37,75902.0,1,4.1085,4.3,4.3,0.0
348,1779867600,2026-05-27 07:40 UTC,Down,Short,0.5,4.235,4.235,1,short,yes,75902.01,75886.01,1,4.1702,4.235,4.235,0.0
349,1779867900,2026-05-27 07:45 UTC,Down,Short,0.48,4.3008,-4.3008,0,short,yes,75886.01,75910.0,0,-4.2327,-4.3008,-4.3008,0.0
350,1779868200,2026-05-27 07:50 UTC,Down,Short,0.5,4.365,-4.365,0,short,yes,75910.0,75956.36,0,-4.1692,-4.365,-4.365,0.0
351,1779868500,2026-05-27 07:55 UTC,Down,Short,0.46,4.2964,-4.2964,0,short,yes,75956.35,75977.17,0,-4.1067,-4.2964,-4.2964,0.0
352,1779869100,2026-05-27 08:05 UTC,Down,Short,0.46,4.232,4.968,1,short,yes,75990.49,75932.7,1,3.9844,4.968,4.232,0.736
353,1779869400,2026-05-27 08:10 UTC,Down,Short,0.5,4.17,4.17,1,short,yes,75932.69,75919.0,1,4.0442,4.17,4.17,0.0
354,1779869700,2026-05-27 08:15 UTC,Down,Short,0.48,4.2432,4.5968,1,short,yes,75919.0,75912.76,1,4.1048,4.5968,4.2432,0.3536
355,1779870300,2026-05-27 08:25 UTC,Down,Short,0.48,4.4278,-4.4278,0,short,yes,75960.01,76048.53,0,-4.1664,-4.4278,-4.4278,0.0
